n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
25,testing/rand_bn_nodes_25_3.BIFXML,True,8,8,map,min_fill,4,1909953000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_fill,0,2608356000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_fill,1,2265954000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_fill,2,1805999000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_fill,3,1762554000
25,testing/rand_bn_nodes_25_4.BIFXML,True,8,8,map,min_fill,4,2919450000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_fill,0,4671197000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_fill,1,5088939000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_fill,2,6381308000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_fill,3,5531661000
25,testing/rand_bn_nodes_25_5.BIFXML,True,8,8,map,min_fill,4,4581165000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_degree,0,16040000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_degree,1,13652000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_degree,2,25108000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_degree,3,22736000
5,testing/rand_bn_nodes_5_1.BIFXML,True,1,1,map,min_degree,4,10552000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_degree,0,36438000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_degree,1,22529000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_degree,2,26096000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_degree,3,28842000
5,testing/rand_bn_nodes_5_2.BIFXML,True,1,1,map,min_degree,4,36862000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_degree,0,32921000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_degree,1,64644000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_degree,2,48965000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_degree,3,27466000
5,testing/rand_bn_nodes_5_3.BIFXML,True,1,1,map,min_degree,4,37161000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_degree,0,21022000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_degree,1,30329000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_degree,2,22666000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_degree,3,21720000
5,testing/rand_bn_nodes_5_4.BIFXML,True,1,1,map,min_degree,4,18875000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_degree,0,19848000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_degree,1,20644000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_degree,2,17234000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_degree,3,15205000
5,testing/rand_bn_nodes_5_5.BIFXML,True,1,1,map,min_degree,4,6330000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_degree,0,90053000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_degree,1,74409000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_degree,2,62236000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_degree,3,70586000
10,testing/rand_bn_nodes_10_1.BIFXML,True,3,3,map,min_degree,4,75672000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_degree,0,82094000
